,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
   Dossier Number  ,      Designation        , Country , ISO ,   Status   ,   Type    , Last relevant date ,   Product Categrory   ,      Latin Transcription     , Submission date , Publication date , Registration date , 1st Amendment date , 2nd Amendment date , 3rd Amendment date 
FR/PGI/0005/00862,Poulet des Cévennes / Chapon des Cévennes ,France,FR,Registered,PGI,06/11/2013,Class 1.1. Fresh meat (and offal),,22/02/2011,05/02/2013,06/11/2013,,,
DE/PGI/0005/00854,Westfälischer Knochenschinken,Germany,DE,Registered,PGI,05/11/2013,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,01/02/2011,09/04/2013,05/11/2013,,,
ES/PGI/0005/0867,Plátano de Canarias,Spain,ES,Registered,PGI,05/11/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,11/03/2011,01/12/2012,05/11/2013,,,
PT/PDO/0005/00848,Travia da Beira Baixa,Portugal,PT,Registered,PDO,05/11/2013,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,10/01/2011,17/11/2012,05/11/2013,,,
UK/PGI/0005/00887,Fenland Celery,United Kingdom,GB,Registered,PGI,15/10/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,22/08/2011,17/11/2012,15/10/2013,,,
EL/PDO/0005/0973,Μεσσαρά,Greece,GR,Registered,PDO,12/10/2013,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",Messara,14/02/2012,21/12/2012,12/10/2013,,,
LV/TSG/0007/00914,Sklandrausis,Latvia,LV,Registered,TSG,12/10/2013,"Class 2.3. Confectionery, bread, pastry, cakes, biscuits and other baker's wares",,13/12/2011,15/11/2012,12/10/2013,,,
IT/PGI/0005/00870,Pasta di Gragnano,Italy,IT,Registered,PGI,11/10/2013,Class 2.7. Pasta,,23/03/2011,15/03/2013,11/10/2013,,,
AD/PGI/0005/00875,Carn d'Andorra,Andorra,AD,Registered,PGI,10/10/2013,Class 1.1. Fresh meat (and offal),,12/04/2011,20/11/2012,10/10/2013,,,
DE/PGI/0005/0802,Bamberger Hörnla / Bamberger Hörnle / Bamberger Hörnchen,Germany,DE,Registered,PGI,05/10/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,17/03/2010,19/09/2012,05/10/2013,,,
DE/PDO/0005/0881,Weideochse vom Limpurger Rind ,Germany,DE,Registered,PDO,24/09/2013,Class 1.1. Fresh meat (and offal),,17/06/2011,30/11/2012,24/09/2013,,,
IT/PGI/0005/00965,Trote del Trentino,Italy,IT,Registered,PGI,24/09/2013,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,17/02/2012,29/09/2012,24/09/2013,04/08/2015,,
ES/PDO/0005/0695,Aceite de Navarra,Spain,ES,Registered,PDO,20/09/2013,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,29/04/2008,24/10/2012,20/09/2013,,,
ES/PDO/0005/0760,Aceite de Lucena,Spain,ES,Registered,PDO,20/09/2013,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,18/02/2009,16/11/2012,20/09/2013,,,
FR/PDO/0005/00812,Oignon de Roscoff,France,FR,Registered,PDO,18/09/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,25/06/2010,31/10/2012,18/09/2013,,,
ES/PGI/0005/00945,Garbanzo de Escacena,Spain,ES,Registered,PGI,11/09/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,01/02/2012,05/10/2012,11/09/2013,,,
PT/PGI/0005/00938,Pastel deTentúgal,Portugal,PT,Registered,PGI,04/09/2013,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,12/01/2012,06/10/2012,04/09/2013,,,
DE/PGI/0005/00857,Walbecker Spargel,Germany,DE,Registered,PGI,09/08/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,08/02/2011,25/09/2012,09/08/2013,,,
SI/PDO/0005/0532,Kraški med,Slovenia,SI,Registered,PDO,06/08/2013,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,24/03/2006,26/09/2012,06/08/2013,,,
UK/PDO/0005/0951,East Kent Goldings,United Kingdom,GB,Registered,PDO,24/07/2013,Class 1.8. other products of Annex I of the Treaty (spices etc.),,13/02/2012,21/09/2012,24/07/2013,,,
FR/PDO/0005/0604,Prés-salés de la baie de Somme,France,FR,Registered,PDO,09/07/2013,Class 1.1. Fresh meat (and offal),,11/05/2007,25/08/2012,09/07/2013,,,
EL/PDO/0005/0736,Αγουρέλαιο Χαλκιδικής,Greece,GR,Registered,PDO,21/06/2013,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",Agoureleo Chalkidikis,14/01/2009,29/09/2012,21/06/2013,,,
ES/PDO/0005/00849,Pasas de Málaga,Spain,ES,Registered,PDO,21/06/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,24/01/2011,19/06/2012,21/06/2013,,,
FR/PGI/0005/00809,Fraises de Nîmes,France,FR,Registered,PGI,21/06/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,02/06/2010,02/10/2012,21/06/2013,,,
FR/PGI/0005/00869,Saucisse de Montbéliard,France,FR,Registered,PGI,21/06/2013,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,14/03/2011,21/09/2012,21/06/2013,,,
ES/TSG/0007/0058,Tortas de Aceite de Castilleja de la Cuesta,Spain,ES,Registered,TSG,06/06/2013,"Class 2.3. Confectionery, bread, pastry, cakes, biscuits and other baker's wares",,09/11/2005,25/08/2012,06/06/2013,,,
IT/PGI/0005/00808,Agnello del Centro Italia,Italy,IT,Registered,PGI,24/05/2013,Class 1.1. Fresh meat (and offal),,18/05/2010,05/07/2012,24/05/2013,,,
IT/PGI/0005/00964,Salmerino del Trentino,Italy,IT,Registered,PGI,24/05/2013,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,17/02/2012,09/08/2012,24/05/2013,04/08/2015,,
IT/PGI/0005/0795,Panforte di Siena,Italy,IT,Registered,PGI,22/05/2013,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,28/01/2010,02/08/2012,22/05/2013,,,
DE/PGI/0005/0773,Eichsfelder Feldgieker / Eichsfelder Feldkieker,Germany,DE,Registered,PGI,17/05/2013,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,14/04/2009,28/06/2012,17/05/2013,28/01/2016,,
EL/PDO/0005/0790,Ξηρά Σύκα Ταξιάρχη ,Greece,GR,Registered,PDO,17/05/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Xira Syka Taxiarchi,23/09/2009,01/06/2012,17/05/2013,,,
FR/PGI/0005/00827,Ail fumé d'Arleux,France,FR,Registered,PGI,17/05/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,02/08/2010,19/07/2012,17/05/2013,02/08/2017,,
UK/PDO/0005/00891,Lakeland Herdwick,United Kingdom,GB,Registered,PDO,17/05/2013,Class 1.1. Fresh meat (and offal),,06/09/2011,08/06/2012,17/05/2013,,,
FR/PDO/0005/0545,Fin Gras/ Fin Gras du Mézenc,France,FR,Registered,PDO,09/05/2013,Class 1.1. Fresh meat (and offal),,30/03/2006,21/06/2012,09/05/2013,,,
FR/PGI/0005/00909,Porc du Sud-Ouest,France,FR,Registered,PGI,09/05/2013,Class 1.1. Fresh meat (and offal),,07/11/2011,08/06/2012,09/05/2013,,,
GB/PGI/0005/00876,Stornoway Black Pudding,United Kingdom,GB,Registered,PGI,09/05/2013,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,03/05/2011,15/06/2012,09/05/2013,,,
FR/TSG/0007/0048,Moules de Bouchot ,France,FR,Registered,TSG,06/05/2013,"Class 1.7. Fresh fish, molluscs and crustaceans and products derived therefrom",,28/12/2006,09/08/2012,06/05/2013,,,
DE/PGI/0005/0804,Spargel aus Franken/Fränkischer Spargel/Franken-Spargel,Germany,DE,Registered,PGI,15/03/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,17/03/2010,28/04/2012,15/03/2013,,,
FI/PDO/0005/00872,Kitkan viisas,Finland,FI,Registered,PDO,15/03/2013,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,01/04/2011,11/05/2012,15/03/2013,,,
IT/PDO/0005/0647,Ficodindia di San Cono,Italy,IT,Registered,PDO,15/03/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,26/09/2007,26/05/2012,15/03/2013,,,
IT/PGI/0005/00931,Mela Rossa Cuneo,Italy,IT,Registered,PGI,15/03/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,16/12/2011,16/05/2012,15/03/2013,,,
IT/PGI/0005/0597,Salame Felino,Italy,IT,Registered,PGI,06/03/2013,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,11/04/2007,20/01/2011,06/03/2013,,,
ES/PGI/0005/00880,Pa de Pagès Català,Spain,ES,Registered,PGI,20/02/2013,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,15/06/2011,03/05/2012,20/02/2013,,,
TH/PGI/0005/00729,ข้าวหอมมะลิทุ่งกุลาร้องไห้,Thailand,TH,Registered,PGI,12/02/2013,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Khao Hom Mali Thung Kula Rong-Hai,20/11/2008,29/06/2010,12/02/2013,,,
FR/PGI/0005/0612,Gruyère,France,FR,Registered,PGI,07/02/2013,Class 1.3. Cheeses,,25/06/2007,04/11/2010,07/02/2013,,,
EL/PGI/0005/0709,Μανταρίνι Χίου ,Greece,GR,Registered,PGI,11/12/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Mandarini Chiou,27/06/2008,24/01/2012,11/12/2012,,,
ES/PDO/0005/0767,Queso Camerano,Spain,ES,Registered,PDO,11/12/2012,Class 1.3. Cheeses,,19/03/2009,04/04/2012,11/12/2012,,,
GB/PGI/0005/00863,Scottish Wild Salmon,United Kingdom,GB,Registered,PGI,11/12/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,07/03/2011,04/04/2012,11/12/2012,,,
IT/PGI/0005/00892,Sale Marino di Trapani,Italy,IT,Registered,PGI,11/12/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),,09/09/2011,03/04/2012,11/12/2012,,,
CN/PGI/0005/0624,东山白芦笋,China,CN,Registered,PGI,30/11/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Dongshan Bai Lu Sun,16/07/2007,03/04/2012,30/11/2012,,,
DE/PGI/0005/0689,Aischgründer Karpfen,Germany,DE,Registered,PGI,24/11/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,19/03/2008,03/03/2012,24/11/2012,,,
ES/PDO/0005/0785,Aceituna Aloreña de Málaga,Spain,ES,Registered,PDO,15/11/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,04/08/2009,07/03/2012,15/11/2012,,,
UK/PGI/0005/00882,Newmarket Sausage,United Kingdom,GB,Registered,PGI,15/11/2012,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,21/06/2011,07/03/2012,15/11/2012,,,
CN/PDO/0005/0628,平谷大桃,China,CN,Registered,PDO,09/11/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Pinggu Da Tao,16/07/2007,18/02/2012,09/11/2012,,,
DE/PGI/0005/00852,Abensberger Spargel/Abensberger Qualitätsspargel,Germany,DE,Registered,PGI,08/11/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,26/01/2011,24/02/2012,08/11/2012,09/12/2015,,
IT/PGI/0005/00858,Ciliegia di Vignola,Italy,IT,Registered,PGI,08/11/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,21/02/2011,22/02/2012,08/11/2012,13/06/2015,,
PT/PDO/0005/0787,Cordeiro  Mirandês / Canhono Mirandês,Portugal,PT,Registered,PDO,08/11/2012,Class 1.1. Fresh meat (and offal),,12/08/2009,29/02/2012,08/11/2012,,,
PT/PGI/0005/0791,Cabrito do Alentejo ,Portugal,PT,Registered,PGI,08/11/2012,Class 1.1. Fresh meat (and offal),,08/10/2009,22/02/2012,08/11/2012,,,
SI/PGI/0005/00833,Kraška panceta,Slovenia,SI,Registered,PGI,08/11/2012,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,13/10/2010,18/02/2012,08/11/2012,,,
UK/PDO/0005/00855,Isle of Man Queenies,United Kingdom,GB,Registered,PDO,08/11/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,08/02/2011,11/02/2012,08/11/2012,,,
DE/PDO/0005/00843,Spalt Spalter,Germany,DE,Registered,PDO,31/10/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),,10/01/2011,02/02/2012,31/10/2012,,,
DE/PGI/0005/0688,Fränkischer Karpfen / Frankenkarpfen / Karpfen aus Franken,Germany,DE,Registered,PGI,31/10/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,19/03/2008,03/02/2012,31/10/2012,,,
ES/PDO/0005/00866,Papas Antiguas de Canarias,Spain,ES,Registered,PDO,31/10/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,11/03/2011,04/02/2012,31/10/2012,,,
DE/PGI/0005/00822,Filderkraut / Filderspitzkraut,Germany,DE,Registered,PGI,24/10/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,09/09/2010,16/02/2012,24/10/2012,,,
PL/PGI/0005/00837,Jagnięcina podhalańska,Poland,PL,Registered,PGI,11/10/2012,Class 1.1. Fresh meat (and offal),,12/11/2010,13/01/2012,11/10/2012,,,
VN/PDO/0005/0788,Phú Quốc,Viet Nam,VN,Registered,PDO,11/10/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,26/08/2009,04/01/2012,11/10/2012,,,
ES/PGI/0005/0705,Pimiento de Fresno-Benavente,Spain,ES,Registered,PGI,08/10/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,19/06/2008,01/02/2012,08/10/2012,,,
FR/PGI/0005/0665,Agneau de lait des Pyrénées,France,FR,Registered,PGI,03/10/2012,Class 1.1. Fresh meat (and offal),,10/12/2007,13/04/2010,03/10/2012,,,
SI/PGI/0005/0418,Štajersko prekmursko bučno olje,Slovenia,SI,Registered,PGI,03/10/2012,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,29/10/2004,26/03/2009,03/10/2012,04/11/2016,,
DE/PGI/0005/0799,Düsseldorfer Mostert/Düsseldorfer Senf Mostert/Düsseldorfer Urtyp Mostert/Aechter Düsseldorfer Mostert,Germany,DE,Registered,PGI,21/08/2012,Class 2.6. Mustard paste,,24/02/2010,04/11/2011,21/08/2012,,,
SI/PDO/0005/0423,Bovški sir,Slovenia,SI,Registered,PDO,21/08/2012,Class 1.3. Cheeses,,29/10/2004,14/12/2011,21/08/2012,,,
CN/PGI/0005/0625,盐城龙虾,China,CN,Registered,PGI,17/08/2012,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",Yancheng Long Xia,16/07/2007,09/12/2011,17/08/2012,,,
PL/PGI/0005/00835,Ser koryciński swojski,Poland,PL,Registered,PGI,10/08/2012,Class 1.3. Cheeses,,18/10/2010,25/11/2011,10/08/2012,,,
SK/TSG/0007/0056,Bratislavský rožok/Pressburger Kipfel/Pozsonyi kifli,Slovakia,SK,Registered,TSG,10/08/2012,"Class 2.3. Confectionery, bread, pastry, cakes, biscuits and other baker's wares",,04/02/2008,30/09/2011,10/08/2012,,,
DK/PGI/0005/0771,Vadehavslam,Denmark,DK,Registered,PGI,25/07/2012,Class 1.1. Fresh meat (and offal),,25/03/2009,18/10/2011,25/07/2012,,,
HU/PGI/0005/0389,Szőregi rózsatő,Hungary,HU,Registered,PGI,25/07/2012,Class 3.5. Flowers and ornamental plants,,21/10/2004,22/10/2011,25/07/2012,,,
IT/PDO/0005/0794,Squacquerone di Romagna,Italy,IT,Registered,PDO,25/07/2012,Class 1.3. Cheeses,,04/12/2009,15/10/2011,25/07/2012,,,
IT/PGI/0005/0653,Uva di Puglia,Italy,IT,Registered,PGI,25/07/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,11/10/2007,15/10/2011,25/07/2012,,,
SI/PGI/0005/00824,Kraški zašink,Slovenia,SI,Registered,PGI,25/07/2012,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,29/09/2010,21/10/2011,25/07/2012,,,
DK/PGI/0005/0770,Vadehavsstude,Denmark,DK,Registered,PGI,14/07/2012,Class 1.1. Fresh meat (and offal),,25/03/2009,01/10/2011,14/07/2012,,,
DE/PGI/0005/0717,Rheinisches Zuckerrübenkraut / Rheinischer Zuckerrübensirup / Rheinisches Rübenkraut,Germany,DE,Registered,PGI,13/07/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,02/09/2008,29/06/2011,13/07/2012,01/03/2017,,
IT/PDO/0005/00823,Nostrano Valtrompia,Italy,IT,Registered,PDO,13/07/2012,Class 1.3. Cheeses,,22/09/2010,15/10/2011,13/07/2012,,,
HU/PDO/0005/0393,Kalocsai fűszerpaprika-őrlemény,Hungary,HU,Registered,PDO,05/07/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),,21/10/2004,14/10/2011,05/07/2012,,,
SI/PGI/0005/0417,Kraški pršut  ,Slovenia,SI,Registered,PGI,15/06/2012,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,29/10/2004,28/09/2009,15/06/2012,,,
CN/PGI/0005/0630,镇江香醋,China,CN,Registered,PGI,14/06/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),Zhenjiang Xiang Cu,16/07/2007,22/09/2010,14/06/2012,,,
ES/PGI/0005/0664,Tomate La Cañada,Spain,ES,Registered,PGI,09/06/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,04/12/2007,30/09/2011,09/06/2012,,,
CZ/PGI/0005/0436,Chelčicko — Lhenické ovoce,Czech Republic,CZ,Registered,PGI,24/05/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,23/11/2004,14/09/2011,24/05/2012,,,
EL/PGI/0005/00839,Φασόλια Βανίλιες Φενεού ,Greece,GR,Registered,PGI,24/05/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Fasolia Vanilies Feneou,21/12/2010,16/09/2011,24/05/2012,,,
EL/PDO/0005/0539,Πράσινες Ελιές Χαλκιδικής,Greece,GR,Registered,PDO,23/05/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Prasines Elies Chalkidikis,27/03/2006,14/07/2010,23/05/2012,,,
FR/PGI/0005/00861,Sel de Guérande / Fleur de sel de Guérande,France,FR,Registered,PGI,20/03/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),,22/02/2011,29/06/2011,20/03/2012,,,
FR/PDO/0005/0548,Béa du Roussillon,France,FR,Registered,PDO,15/03/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,30/03/2006,02/07/2011,15/03/2012,,,
IT/PDO/0005/0491,Cinta Senese,Italy,IT,Registered,PDO,15/03/2012,Class 1.1. Fresh meat (and offal),,06/09/2005,08/07/2011,15/03/2012,,,
DE/PGI/0005/0738,Schwäbische Spätzle / Schwäbische Knöpfle,Germany,DE,Registered,PGI,08/03/2012,Class 2.7. Pasta,,02/02/2009,01/07/2011,08/03/2012,28/02/2017,,
IT/PDO/0005/0779,Susina di Dro,Italy,IT,Registered,PDO,08/03/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,30/06/2009,25/06/2011,08/03/2012,,,
SI/PDO/0005/0422,Tolminc,Slovenia,SI,Registered,PDO,08/03/2012,Class 1.3. Cheeses,,29/10/2004,25/06/2011,08/03/2012,,,
UK/PGI/0005/0792,Armagh Bramley Apples,United Kingdom,GB,Registered,PGI,08/03/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,16/10/2009,25/06/2011,08/03/2012,,,
CY/PGI/0005/0800,Κουφέτα Αμυγδάλου Γεροσκήπου,Cyprus,CY,Registered,PGI,03/03/2012,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",Koufeta Amygdalou Geroskipou,02/03/2010,01/07/2011,03/03/2012,,,
FR/PGI/0005/00844,Melon de Guadeloupe,France,FR,Registered,PGI,03/03/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,18/01/2011,29/06/2011,03/03/2012,,,
HU/PDO/0005/0516,Alföldi kamillavirágzat,Hungary,HU,Registered,PDO,25/02/2012,Class 1.8. other products of Annex I of the Treaty (spices etc.),,21/12/2005,16/07/2010,25/02/2012,,,
GB/PGI/0005/00807,New Season Comber Potatoes / Comber Earlies,United Kingdom,GB,Registered,PGI,21/02/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,11/06/2010,14/05/2011,21/02/2012,,,
IT/PGI/0005/00818,Limone di Rocca Imperiale,Italy,IT,Registered,PGI,21/02/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,26/07/2010,27/05/2011,21/02/2012,08/07/2014,,
DE/PGI/0005/0713,Holsteiner Katenschinken / Holsteiner Schinken/ Holsteiner Katenrauchschinken/ Holsteiner Knochenschinken,Germany,DE,Registered,PGI,31/01/2012,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,14/07/2008,08/04/2011,31/01/2012,29/07/2017,,
LT/PDO/0005/00850,Seinų / Lazdijų krašto medus / Miód z Sejneńszczyny / Łoździejszczyzny,Lithuania,LT,Registered,PDO,31/01/2012,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,26/02/2008,14/04/2011,31/01/2012,,,
IT/PDO/0005/0452,Vulture,Italy,IT,Registered,PDO,13/01/2012,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,09/03/2005,04/05/2011,13/01/2012,18/05/2016,,
PL/PDO/0005/0645,Fasola Wrzawska,Poland,PL,Registered,PDO,13/01/2012,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,24/09/2007,30/04/2011,13/01/2012,,,
DE/PGI/0005/0716,Rheinisches Apfelkraut,Germany,DE,Registered,PGI,23/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,02/09/2008,30/04/2011,23/12/2011,,,
ES/PDO/0005/0636,Mongeta del Ganxet,Spain,ES,Registered,PDO,23/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,27/07/2007,27/04/2011,23/12/2011,,,
IT/PDO/0005/0639,Salva Cremasco,Italy,IT,Registered,PDO,23/12/2011,Class 1.3. Cheeses,,30/07/2007,27/04/2011,23/12/2011,,,
BG/PGI/0005/0732,Горнооряховски суджук,Bulgaria,BG,Registered,PGI,22/12/2011,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",Gornooryahovski sudzhuk,10/12/2008,26/03/2010,22/12/2011,02/08/2014,,
FR/PDO/0005/0544,Figue de Solliès,France,FR,Registered,PDO,22/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,30/03/2006,16/04/2011,22/12/2011,,,
IT/PDO/0005/0571,Terre Aurunche,Italy,IT,Registered,PDO,22/12/2011,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,21/11/2006,07/04/2011,22/12/2011,,,
IT/PDO/0005/0572,Ciliegia dell'Etna,Italy,IT,Registered,PDO,22/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,23/11/2006,08/04/2011,22/12/2011,,,
SI/PGI/0005/00811,Ptujski lük ,Slovenia,SI,Registered,PGI,22/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,04/06/2010,07/04/2011,22/12/2011,09/05/2013,,
HU/PGI/0005/0722,Magyar szürkemarha hús,Hungary,HU,Registered,PGI,14/12/2011,Class 1.1. Fresh meat (and offal),,07/04/2009,17/03/2011,14/12/2011,,,
IT/PDO/0005/0561,Seggiano,Italy,IT,Registered,PDO,14/12/2011,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,30/10/2006,26/03/2010,14/12/2011,,,
EL/PGI/0005/0708,Πατάτα Νάξου,Greece,GR,Registered,PGI,02/12/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Patata Naxou,27/06/2008,23/03/2011,02/12/2011,,,
ES/PGI/0005/0761,Mantecados de Estepa,Spain,ES,Registered,PGI,02/12/2011,"Class 2.4. Bread, pastry, cakes, confectionery, biscuits and other baker’s wares",,18/02/2009,01/02/2011,02/12/2011,,,
SI/PDO/0005/0425,Kočevski gozdni med,Slovenia,SI,Registered,PDO,15/11/2011,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,29/10/2004,04/03/2011,15/11/2011,,,
SI/PGI/0005/0415,Šebreljski želodec,Slovenia,SI,Registered,PGI,15/11/2011,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,29/10/2004,12/02/2011,15/11/2011,,,
SI/PGI/0005/0416,Zgornjesavinjski želodec,Slovenia,SI,Registered,PGI,15/11/2011,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,29/10/2004,12/02/2011,15/11/2011,,,
IT/PDO/0005/0783,Brovada,Italy,IT,Registered,PDO,08/11/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,17/07/2009,04/02/2011,08/11/2011,,,
IT/PGI/0005/0602,Coppa di Parma,Italy,IT,Registered,PGI,08/11/2011,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,04/05/2007,05/02/2011,08/11/2011,,,
IT/PGI/0005/0798,Carciofo Brindisino,Italy,IT,Registered,PGI,08/11/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,17/02/2010,29/01/2011,08/11/2011,,,
UK/PDO/0005/0737,Native Shetland Wool,United Kingdom,GB,Registered,PDO,08/11/2011,Class 3.6. Wool,,19/01/2009,12/02/2011,08/11/2011,,,
UK/PGI/0005/0796,Lough Neagh Eel,United Kingdom,GB,Registered,PGI,08/11/2011,"Class 1.7. Fresh fish, molluscs, and crustaceans and products derived therefrom",,10/02/2010,15/02/2011,08/11/2011,,,
CN/PGI/0005/0622,金乡大蒜,China,CN,Registered,PGI,01/11/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Jinxiang Da Suan,16/07/2007,05/02/2011,01/11/2011,,,
IT/PDO/0005/0644,Liquirizia di Calabria,Italy,IT,Registered,PDO,25/10/2011,Class 1.8. other products of Annex I of the Treaty (spices etc.),,24/09/2007,26/11/2010,25/10/2011,21/12/2013,,
PL/PDO/0005/0710,Fasola Piękny Jaś z Doliny Dunajca / Fasola z Doliny Dunajca,Poland,PL,Registered,PDO,25/10/2011,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,10/07/2008,18/11/2010,25/10/2011,18/02/2015,,
IN/PGI/0005/0659,Darjeeling,India,IN,Registered,PGI,21/10/2011,Class 1.8. other products of Annex I of the Treaty (spices etc.),,12/11/2007,14/10/2009,21/10/2011,,,
PL/TSG/0007/0050,Kabanosy,Poland,PL,Registered,TSG,20/10/2011,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,22/01/2007,09/07/2009,20/10/2011,,,
EL/PDO/0005/0734,Κατσικάκι Ελασσόνας,Greece,GR,Registered,PDO,05/10/2011,Class 1.1. Fresh meat (and offal),Katsikaki  Elassonas,14/01/2009,27/11/2010,05/10/2011,,,
ES/PDO/0005/0718,Queso Casín,Spain,ES,Registered,PDO,05/10/2011,Class 1.3. Cheeses,,04/09/2008,26/11/2010,05/10/2011,,,
ES/PDO/0005/0723,Vinagre de Jerez,Spain,ES,Registered,PDO,05/10/2011,Class 1.8. other products of Annex I of the Treaty (spices etc.),,15/10/2008,24/11/2010,05/10/2011,,,
