,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
   Dossier Number  ,      Designation        , Country , ISO ,   Status   ,   Type    , Last relevant date ,   Product Categrory   ,      Latin Transcription     , Submission date , Publication date , Registration date , 1st Amendment date , 2nd Amendment date , 3rd Amendment date 
UK/TSG/0007/01396,Traditionally Reared Pedigree Welsh Pork,United Kingdom,GB,Registered,TSG,10/02/2017,Class 1.1. Fresh meat (and offal),,27/10/2015,15/10/2016,10/02/2017,,,
FR/PGI/0005/02095,Raclette de Savoie,France,FR,Registered,PGI,27/01/2017,Class 1.3. Cheeses,,23/11/2015,19/07/2016,27/01/2017,,,
ES/PDO/0005/01268,Miel Villuercas-Ibores,Spain,ES,Registered,PDO,20/01/2017,"Class 1.4. Other products of animal origin (eggs, honey, various dairy products except butter, etc.)",,21/10/2014,09/09/2016,20/01/2017,,,
FR/PGI/0005/02102,Brillat-Savarin,France,FR,Registered,PGI,19/01/2017,Class 1.3. Cheeses,,23/12/2015,08/09/2016,19/01/2017,,,
IT/PGI/0005/01314,Olio di Calabria,Italy,IT,Registered,PGI,20/12/2016,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,20/02/2015,20/08/2016,20/12/2016,,,
IT/PDO/0005/02101,Oliva di Gaeta,Italy,IT,Registered,PDO,15/12/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,23/12/2015,04/08/2016,15/12/2016,,,
GB/PGI/0005/02108,Vale of Evesham Asparagus,United Kingdom,GB,Registered,PGI,02/12/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,21/01/2016,15/07/2016,02/12/2016,,,
IT/PGI/0005/01393,Burrata di Andria,Italy,IT,Registered,PGI,02/12/2016,Class 1.3. Cheeses,,27/10/2015,20/07/2016,02/12/2016,,,
IT/PGI/0005/01385,Anguria Reggiana,Italy,IT,Registered,PGI,09/11/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",,14/10/2015,09/07/2016,09/11/2016,,,
FR/PGI/0005/01373,Poularde du Périgord,France,FR,Registered,PGI,04/11/2016,Class 1.1. Fresh meat (and offal),,24/09/2015,24/06/2016,04/11/2016,,,
SE/PDO/0005/01327,Hånnlamb,Sweden,SE,Registered,PDO,04/11/2016,Class 1.1. Fresh meat (and offal),,21/04/2015,01/07/2016,04/11/2016,,,
FR/PGI/0005/01377,Chapon du Périgord,France,FR,Registered,PGI,21/10/2016,Class 1.1. Fresh meat (and offal),,24/09/2015,09/06/2016,21/10/2016,,,
HR/PDO/0005/01346,Šoltansko maslinovo ulje,Croatia,HR,Registered,PDO,21/10/2016,"Class 1.5. Oils and fats (butter, margarine, oil, etc.)",,19/06/2015,02/06/2016,21/10/2016,,,
FR/PGI/0005/01374,Poulet du Périgord,France,FR,Registered,PGI,13/10/2016,Class 1.1. Fresh meat (and offal),,24/09/2015,02/06/2016,13/10/2016,,,
GB/PGI/0005/01229,Carmarthen Ham,United Kingdom,GB,Registered,PGI,13/10/2016,"Class 1.2. Meat products (cooked, salted, smoked, etc.)",,19/05/2014,03/06/2016,13/10/2016,,,
TH/PGI/0005/01115,ข้าวสังข์หยดเมืองพัทลุง,Thailand,TH,Registered,PGI,12/10/2016,"Class 1.6. Fruit, vegetables and cereals fresh or processed",Khao Sangyod Muang Phatthalung,27/05/2013,27/05/2016,12/10/2016,,,
